,Total Return,Annualized Return,Volatility,Downside Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown
contrarian,-1.0017507050528927,,0.6192387821307712,0.828083887428609,,,-0.8834156086456021
momentum,-0.9982492949471073,-0.9922284277645889,0.6192387821307712,0.32030046746926927,-1.602335732833751,-3.097805119063046,-0.34836100060207176
neutral,-1.0,-1.0,0.054659243401055276,0.10077408292286057,-18.295167254010938,-9.923186309375486,-0.10038929689858632
buy_hold,-0.9982492949471073,-0.9921490529307376,0.620941337442934,0.11657750816600179,-1.5978144682981723,-8.510638703290487,-0.1977483927305943
