,Total Return,Annualized Return,Volatility,Downside Volatility,Sharpe Ratio,Sortino Ratio,Max Drawdown
contrarian,-1.1116759776536314,,1.4415706297041397,1.1671546953971264,,,-0.8889196534394747
momentum,-0.8883240223463686,-0.9950029846246128,1.4415706297041397,0.7617370461007577,-0.6902214599286209,-1.3062289535712042,-0.5511137605746698
neutral,-1.0,-1.0,0.5030780014831479,0.852177386993606,-1.987763323086784,-1.1734646040396552,-0.4337585121891585
buy_hold,-0.8883240223463686,-0.9948257102224138,1.5520286718821166,0.7092521838502092,-0.6409841056711968,-1.4026403201495345,-0.6585312500000005
